What are your weaknesses?,my overthinking
Tell about a problem you have right now. What can you do to solve it?,nothing
When do you feel lonely?,no
What makes you mad?,gym
"If you have a job, what do you like about it? Dislike?",no job
How many promises have you made this past year and how many of them have you fulfilled?,non of them
Tell about a job you would hate doing.,coping others
How do you think others see you?,d
"If you could be any animal, what would you be and why?",pikachu
Which one would you prefer; taking a luxurious trip alone or having a picnic with people you love?,with people you love
